"value","nasad_URL_clean"
"University of North Dakota","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I0606"
"University of North Florida","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I0725"
"University of North Georgia","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I0922"
"University of North Texas","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I0085"
"University of Notre Dame","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I0607"
"University of Oregon","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I0014"
"University of Saint Francis","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I1238"
"University of South Carolina","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I0016"
"University of South Carolina Upstate","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I1250"
"University of South Dakota","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I0614"
"University of South Florida","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I0115"
"University of Southern Indiana","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I1260"
"University of Southern Maine","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I0616"
"University of Southern Mississippi","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I0055"
"University of Tampa","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I0241"
"University of Tennessee","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I0618"
"University of Tennessee at Chattanooga","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I0619"
"University of Texas at Arlington","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I0620"
"University of Texas at San Antonio","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I0621"
"University of Texas Permian Basin","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I0928"
"University of Toledo","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I0622"
"University of West Georgia","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I0646"
"University of Wisconsin – Green Bay","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I0327"
"University of Wisconsin – Madison","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I0084"
"University of Wisconsin – Milwaukee","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I0328"
"University of Wisconsin – Stevens Point","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I0056"
"University of Wisconsin – Stout","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I1162"
"University of Wisconsin – Whitewater","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I0630"
"Utah State University","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I0631"
"Valdosta State University","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I1134"
"Vermont College of Fine Arts","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I1303"
"Vincennes University","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I0250"
"Virginia Commonwealth University","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I0076"
"Virginia State University","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I0635"
"Virginia Tech","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I0634"
"Washburn University","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I0639"
"Washington University in St. Louis","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I0025"
"Waubonsee Community College","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I1293"
"Wayne State College","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I0837"
"Weber State University","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I0642"
"Wentworth Institute of Technology","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I1188"
"West Chester University of Pennsylvania","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I0645"
"West Valley College","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I1300"
"West Virginia University","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I0648"
"Western Carolina University","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I0650"
"Western Connecticut State University","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I0651"
"Western Illinois University","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I0026"
"Western Kentucky University","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I0254"
"Western Michigan University","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I0059"
"Western Washington University","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I0213"
"Wichita State University","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I0057"
"William Paterson University","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I0662"
"Winthrop University","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I0073"
"Woodbury University","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I1200"
"Youngstown State University","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I0670"
