"value","nasad_URL_clean"
"Delaware County Community College","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I1315"
"Delta State University","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I0432"
"Dominican University of California","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I0334"
"Drake University","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I0436"
"Drexel University","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I0310"
"East Carolina University","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I0299"
"East Central College","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I0936"
"East Tennessee State University","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I0439"
"Eastern Illinois University","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I0442"
"Eastern Michigan University","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I0083"
"Emporia State University","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I0447"
"Endicott College","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I1177"
"Escuela de Artes Plásticas y Diseño de Puerto Rico","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I1253"
"Farmingdale State College","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I1348"
"Fashion Institute of Design & Merchandising","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I1312"
"Fashion Institute of Technology","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I1210"
"Fayetteville State University","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I0880"
"Ferris State University","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I1165"
"The Florence Academy of Art","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I1288"
"Florida International University","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I0703"
"Florida State University","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I1124"
"Framingham State University","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I1291"
"Francis Marion University","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I0958"
"George Washington University","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I0107"
"Georgia Institute of Technology","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I1179"
"Georgia Southern University","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I0458"
"Georgia State University","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I0459"
"Grand Rapids Community College","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I0463"
"Grand Valley State University","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I0269"
"Harrisburg Area Community College","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I1247"
"Hartwick College","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I0690"
"High Point University","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I1289"
"Hope College","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I0087"
"Houston Community College","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I1319"
"Howard Community College","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I0913"
"Howard University","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I0739"
"Illinois State University","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I0099"
"Indiana State University","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I0148"
"Indiana University","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I0249"
"Indiana University – Purdue University, Indianapolis","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I0923"
"Indiana University of Pennsylvania","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I0745"
"Iowa State University","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I0114"
"Ivy Tech Community College of Indiana, Central Indiana","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I1245"
"Jackson State University","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I0455"
"Jacksonville State University","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I0748"
"James Madison University","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I0101"
"Kansas City Art Institute","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I1214"
"Kansas State University","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I0337"
"Kean University","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I0279"
"Kennesaw State University","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I0349"
